iter	RMSE
2855	0.06450122273
2856	0.06445436866
2857	0.06435651625
2858	0.06427049046
2859	0.06424403696
2860	0.06421455938
2861	0.06417974077
2862	0.06414281592
2863	0.06409727378
2864	0.06407883691
2865	0.06404076341
2866	0.06403328203
2867	0.06398918587
2868	0.06392619251
2869	0.06390352239
2870	0.06386842579
2871	0.06378934675
2872	0.06375576138
2873	0.06374664906
2874	0.06373448617
2875	0.06371227402
2876	0.06368691859
2877	0.06365206891
2878	0.06360848075
2879	0.06357625573
2880	0.06356547365
2881	0.06353988449
2882	0.06345911392
2883	0.06342264864
2884	0.06337149964
2885	0.06335341014
2886	0.06334080042
2887	0.06330741791
2888	0.06328099617
2889	0.06323946047
2890	0.06320184262
2891	0.06317618865
2892	0.06316201088
2893	0.06314626664
2894	0.06313440587
2895	0.06310364626
2896	0.06309193162
2897	0.0630563483
2898	0.06301933491
2899	0.06298356277
2900	0.0629695397
2901	0.062945433
2902	0.06292111347
2903	0.06290395799
2904	0.06287895545
